2024-03-03 11:42:50,444 - INFO - torch_version:2.1.1+cpu
2024-03-03 11:42:51,683 - DEBUG - Epoch 22 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.7858])), ('gpr_list.0.kernel.length_scale', tensor([0.7723])), ('gpr_list.0.kernel.signal_variance', tensor([1.0022])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:42:51,693 - DEBUG - Epoch 23 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.7766])), ('gpr_list.0.kernel.length_scale', tensor([0.7610])), ('gpr_list.0.kernel.signal_variance', tensor([1.0134])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:42:51,703 - DEBUG - Epoch 24 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.7674])), ('gpr_list.0.kernel.length_scale', tensor([0.7496])), ('gpr_list.0.kernel.signal_variance', tensor([1.0250])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:42:51,713 - DEBUG - Epoch 25 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.7584])), ('gpr_list.0.kernel.length_scale', tensor([0.7380])), ('gpr_list.0.kernel.signal_variance', tensor([1.0367])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:42:51,723 - DEBUG - Epoch 26 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.7494])), ('gpr_list.0.kernel.length_scale', tensor([0.7263])), ('gpr_list.0.kernel.signal_variance', tensor([1.0487])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:42:51,734 - DEBUG - Epoch 27 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.7404])), ('gpr_list.0.kernel.length_scale', tensor([0.7145])), ('gpr_list.0.kernel.signal_variance', tensor([1.0609])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:42:51,746 - DEBUG - Epoch 28 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.7316])), ('gpr_list.0.kernel.length_scale', tensor([0.7025])), ('gpr_list.0.kernel.signal_variance', tensor([1.0734])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:42:51,756 - DEBUG - Epoch 29 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.7228])), ('gpr_list.0.kernel.length_scale', tensor([0.6903])), ('gpr_list.0.kernel.signal_variance', tensor([1.0860])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:42:51,766 - DEBUG - Epoch 30 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.7141])), ('gpr_list.0.kernel.length_scale', tensor([0.6780])), ('gpr_list.0.kernel.signal_variance', tensor([1.0989])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:42:51,776 - DEBUG - Epoch 31 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.7055])), ('gpr_list.0.kernel.length_scale', tensor([0.6655])), ('gpr_list.0.kernel.signal_variance', tensor([1.1119])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
